Field(mT)	GrayLevel	
30.185761 	 2131.655273
28.175295 	 2131.758789
26.148339 	 2131.672607
24.146534 	 2131.747803
22.156810 	 2131.872314
20.152050 	 2131.739014
18.135791 	 2131.554932
16.136085 	 2132.069092
14.133802 	 2131.738770
12.128980 	 2131.964844
10.129969 	 2132.206543
8.112639 	 2131.968750
6.116155 	 2132.309814
4.112215 	 2132.182129
2.113474 	 2132.267334
0.110186 	 2132.307861
-1.893608 	 2132.501709
-3.897655 	 2132.704102
-5.896610 	 2133.167480
-7.893490 	 2133.462891
-9.893523 	 2134.720703
-11.895572 	 2135.755859
-13.891570 	 2135.858398
-15.905709 	 2136.340088
-17.893482 	 2135.981934
-19.893121 	 2136.251709
-21.890992 	 2136.372314
-23.888484 	 2136.231689
-25.890344 	 2136.385742
-27.879503 	 2136.084961
-29.866896 	 2136.185303
-27.880765 	 2136.227783
-25.888704 	 2136.253662
-23.886717 	 2135.945068
-21.892885 	 2136.464111
-19.890344 	 2136.129639
-17.892977 	 2136.013428
-15.903816 	 2136.272705
-13.892074 	 2135.931885
-11.896959 	 2135.978271
-9.896548 	 2135.946045
-7.899542 	 2136.034180
-5.897367 	 2135.781250
-3.899044 	 2136.007080
-1.894871 	 2135.866211
0.108796 	 2135.570068
2.108421 	 2135.602295
4.110825 	 2135.253174
6.111733 	 2134.937012
8.111628 	 2134.018311
10.125926 	 2133.083252
12.128980 	 2131.990479
14.130770 	 2132.053711
16.131410 	 2131.852295
18.136549 	 2131.808594
20.152681 	 2131.917725
22.150997 	 2131.711182
24.147545 	 2131.918213
26.151510 	 2131.820557
28.177325 	 2131.800293
30.185380 	 2131.841309
