Field(mT)	GrayLevel	
200.902696 	 2126.219727
190.883755 	 2126.592773
180.891996 	 2126.578857
170.792259 	 2126.652344
160.718380 	 2126.502686
150.642627 	 2126.535645
140.580192 	 2126.374023
130.555034 	 2126.484619
120.527378 	 2126.572021
110.505696 	 2126.387207
100.458134 	 2126.920898
90.393081 	 2126.876465
80.367482 	 2126.598633
70.335107 	 2127.186279
60.258428 	 2127.018066
50.239835 	 2127.261230
40.213567 	 2127.378418
30.186268 	 2127.492920
27.157314 	 2127.329590
24.145523 	 2127.272217
21.157462 	 2127.587891
20.154071 	 2127.379639
18.137055 	 2127.784668
15.133453 	 2127.633057
12.128095 	 2127.838379
10.126305 	 2128.052734
9.111639 	 2127.779297
6.113250 	 2127.980225
3.110697 	 2128.164795
0.106522 	 2128.073975
-2.892600 	 2128.278320
-5.900140 	 2128.783203
-8.893381 	 2129.485596
-9.898440 	 2130.175049
-11.896581 	 2131.457520
-14.902103 	 2131.274414
-17.889569 	 2131.497314
-19.890217 	 2131.517334
-20.892435 	 2131.361328
-23.886843 	 2131.541260
-26.886690 	 2131.577393
-29.867401 	 2131.699707
-39.849455 	 2131.722168
-49.865323 	 2132.027100
-59.846896 	 2132.010498
-69.789846 	 2132.413330
-79.784267 	 2132.632812
-89.765732 	 2132.434570
-99.723442 	 2132.824951
-109.705616 	 2132.621826
-119.709844 	 2132.818115
-129.679252 	 2133.041260
-139.682008 	 2132.935303
-149.635715 	 2133.165527
-159.594425 	 2133.053467
-169.530469 	 2133.155518
-179.447818 	 2132.942627
-189.475804 	 2133.051025
-199.475431 	 2132.743408
-189.476940 	 2133.169678
-179.449696 	 2132.934814
-169.527705 	 2132.786377
-159.596441 	 2133.060303
-149.640117 	 2132.541260
-139.682894 	 2132.882812
-129.684296 	 2132.775391
-119.711361 	 2132.734619
-109.709917 	 2132.923584
-99.723316 	 2132.606445
-89.763585 	 2132.649658
-79.781357 	 2132.685059
-69.787579 	 2132.458984
-59.850554 	 2132.324463
-49.866587 	 2132.102539
-39.853118 	 2132.067383
-29.868662 	 2132.139160
-26.888456 	 2132.153564
-23.885455 	 2132.104492
-20.891551 	 2131.965576
-19.892616 	 2132.071777
-17.890579 	 2131.628418
-14.902987 	 2131.991943
-11.897841 	 2131.603271
-9.898944 	 2131.603760
-8.893254 	 2131.777588
-5.897619 	 2131.137939
-2.893484 	 2131.442627
0.107659 	 2131.125977
3.115245 	 2130.963867
6.111607 	 2130.576904
9.113913 	 2129.374756
10.127948 	 2128.856689
12.130369 	 2127.782715
15.133200 	 2127.562500
18.136296 	 2127.580811
20.154577 	 2127.715332
21.156199 	 2127.532959
24.146786 	 2127.568359
27.159724 	 2127.387695
30.187917 	 2127.420654
40.210155 	 2127.552734
50.237813 	 2127.118408
60.260711 	 2127.017090
70.333966 	 2126.927979
80.367608 	 2126.887695
90.391050 	 2126.866211
100.455853 	 2126.729980
110.503291 	 2126.525146
120.521944 	 2126.540039
130.554274 	 2126.181152
140.576526 	 2126.450684
150.640468 	 2126.116699
160.717874 	 2126.265137
170.788839 	 2126.252930
180.893132 	 2126.216553
190.886767 	 2126.490723
200.907961 	 2126.101074
