Field(mT)	GrayLevel	
200.882514 	 722.476379
190.862794 	 722.344666
180.869543 	 722.132141
170.775030 	 721.849365
160.700275 	 721.669800
150.622048 	 721.608948
140.563883 	 722.260437
130.542992 	 722.584473
120.512845 	 722.686096
110.490758 	 722.671692
100.447741 	 722.660950
90.388257 	 722.779114
80.360281 	 722.801758
70.329152 	 722.827332
60.252466 	 722.785828
50.233391 	 722.743591
40.208385 	 722.723999
30.183858 	 722.725647
20.152302 	 723.031433
10.126179 	 723.145874
0.107154 	 723.517151
-9.894153 	 726.210388
-19.888324 	 728.783875
-29.863237 	 728.927124
-39.846550 	 728.948364
-49.861278 	 729.011353
-59.842104 	 729.220093
-69.783547 	 729.242859
-79.775033 	 729.199890
-89.757145 	 729.243347
-99.710586 	 729.188293
-109.691956 	 729.252502
-119.695178 	 729.262695
-129.670173 	 729.317871
-139.665043 	 729.297180
-149.622761 	 729.153870
-159.573509 	 729.155945
-169.508232 	 729.111755
-179.424536 	 728.956482
-189.452464 	 728.847900
-199.451328 	 728.689087
-189.452212 	 728.836304
-179.429042 	 728.965027
-169.512001 	 728.923767
-159.580061 	 728.885193
-149.624521 	 728.863525
-139.664537 	 728.925232
-129.669416 	 729.009033
-119.697074 	 728.883850
-109.697142 	 728.935486
-99.713863 	 729.009705
-89.756387 	 728.949219
-79.777436 	 728.912781
-69.781406 	 728.923584
-59.843491 	 729.009155
-49.863932 	 729.003906
-39.848192 	 728.800659
-29.863111 	 728.747986
-19.890470 	 728.766907
-9.899448 	 728.573303
0.108543 	 728.138184
10.129716 	 724.913879
20.151039 	 722.907715
30.186776 	 722.737915
40.208512 	 722.627747
50.231496 	 722.322327
60.253735 	 722.433838
70.325477 	 722.405518
80.357628 	 722.460388
90.384829 	 722.365845
100.447741 	 722.477905
110.494049 	 722.586365
120.514614 	 722.515625
130.543752 	 722.467102
140.564136 	 722.401733
150.624461 	 722.648376
160.701288 	 722.663208
170.774903 	 722.743103
180.872697 	 722.775330
190.866308 	 722.868469
200.884771 	 722.917603
