Field(mT)	GrayLevel	File
30.180306 	 1677.239258 	 image0000.png
27.150464 	 1677.351440 	 image0001.png
24.136931 	 1677.522217 	 image0002.png
21.150260 	 1677.778198 	 image0003.png
18.130484 	 1677.861206 	 image0004.png
15.130673 	 1678.043701 	 image0005.png
12.124810 	 1678.433960 	 image0006.png
9.109617 	 1678.261353 	 image0007.png
6.109207 	 1678.156006 	 image0008.png
3.112718 	 1678.470459 	 image0009.png
0.107659 	 1678.792969 	 image0010.png
-2.893484 	 1679.567139 	 image0011.png
-5.899384 	 1680.742187 	 image0012.png
-8.890229 	 1683.304443 	 image0013.png
-11.895194 	 1687.169800 	 image0014.png
-14.900715 	 1688.073120 	 image0015.png
-17.885656 	 1688.459229 	 image0016.png
-20.885492 	 1688.527588 	 image0017.png
-23.886464 	 1688.646729 	 image0018.png
-26.881265 	 1688.681030 	 image0019.png
-29.861345 	 1688.586060 	 image0020.png
-26.880886 	 1688.543335 	 image0021.png
-23.884192 	 1688.360840 	 image0022.png
-20.888143 	 1688.082886 	 image0023.png
-17.886540 	 1688.320923 	 image0024.png
-14.898190 	 1688.755615 	 image0025.png
-11.893807 	 1688.353394 	 image0026.png
-8.887959 	 1688.352661 	 image0027.png
-5.897493 	 1687.960571 	 image0028.png
-2.897779 	 1687.925903 	 image0029.png
0.109680 	 1687.336914 	 image0030.png
3.113097 	 1687.091675 	 image0031.png
6.111607 	 1685.577148 	 image0032.png
9.112397 	 1683.629028 	 image0033.png
12.127463 	 1679.663330 	 image0034.png
15.130799 	 1678.079956 	 image0035.png
18.131116 	 1677.761719 	 image0036.png
21.149754 	 1677.687744 	 image0037.png
24.138194 	 1677.379883 	 image0038.png
27.148688 	 1677.551025 	 image0039.png
30.180053 	 1677.336792 	 image0040.png
