Field(mT)	GrayLevel	File
100.453698 	 2103.612549 	 image0000.png
90.390161 	 2107.837646 	 image0001.png
80.365966 	 2111.708984 	 image0002.png
70.328518 	 2113.647949 	 image0003.png
60.257033 	 2116.934082 	 image0004.png
50.238192 	 2118.025879 	 image0005.png
40.208891 	 2122.803223 	 image0006.png
30.185761 	 2126.083252 	 image0007.png
20.152681 	 2129.322266 	 image0008.png
19.152197 	 2130.426025 	 image0009.png
18.135159 	 2130.237549 	 image0010.png
17.135306 	 2130.802246 	 image0011.png
16.131410 	 2134.781738 	 image0012.png
15.134969 	 2133.268311 	 image0013.png
14.132033 	 2135.120117 	 image0014.png
13.130633 	 2136.140137 	 image0015.png
12.127590 	 2135.146729 	 image0016.png
11.131496 	 2138.061035 	 image0017.png
10.129716 	 2138.251953 	 image0018.png
9.114039 	 2137.037842 	 image0019.png
8.108848 	 2139.029785 	 image0020.png
7.111365 	 2139.097900 	 image0021.png
6.110091 	 2141.153564 	 image0022.png
5.117156 	 2143.281494 	 image0023.png
4.109436 	 2142.569580 	 image0024.png
3.111202 	 2145.064941 	 image0025.png
2.110695 	 2148.070801 	 image0026.png
1.115872 	 2148.519775 	 image0027.png
0.105511 	 2149.333252 	 image0028.png
-0.893354 	 2153.676025 	 image0029.png
-1.897145 	 2154.188477 	 image0030.png
-2.892473 	 2157.993164 	 image0031.png
-3.898413 	 2161.548096 	 image0032.png
-4.897602 	 2166.235596 	 image0033.png
-5.896106 	 2173.314209 	 image0034.png
-6.892718 	 2179.036377 	 image0035.png
-7.897021 	 2191.919678 	 image0036.png
-8.893507 	 2209.848633 	 image0037.png
-9.896296 	 2228.791016 	 image0038.png
-10.893161 	 2247.793457 	 image0039.png
-11.896076 	 2261.547852 	 image0040.png
-12.890923 	 2266.552246 	 image0041.png
-13.891191 	 2271.500488 	 image0042.png
-14.900588 	 2274.999512 	 image0043.png
-15.907981 	 2275.235352 	 image0044.png
-16.888614 	 2277.318359 	 image0045.png
-17.891084 	 2278.879883 	 image0046.png
-18.889262 	 2276.235596 	 image0047.png
-19.892111 	 2279.090332 	 image0048.png
-29.866644 	 2285.152344 	 image0049.png
-39.853623 	 2288.103516 	 image0050.png
-49.864185 	 2292.642578 	 image0051.png
-59.843995 	 2293.778076 	 image0052.png
-69.786193 	 2295.803223 	 image0053.png
-79.780219 	 2300.229004 	 image0054.png
-89.763838 	 2300.281250 	 image0055.png
-99.720921 	 2301.804932 	 image0056.png
-89.762575 	 2301.284668 	 image0057.png
-79.783255 	 2297.330566 	 image0058.png
-69.789594 	 2296.437012 	 image0059.png
-59.846265 	 2293.994385 	 image0060.png
-49.864311 	 2289.640137 	 image0061.png
-39.850971 	 2288.566162 	 image0062.png
-29.867527 	 2286.139648 	 image0063.png
-19.891732 	 2280.843506 	 image0064.png
-18.887495 	 2282.271729 	 image0065.png
-17.890705 	 2277.798340 	 image0066.png
-16.891139 	 2279.795654 	 image0067.png
-15.905078 	 2278.510010 	 image0068.png
-14.900967 	 2278.249512 	 image0069.png
-13.888796 	 2279.135254 	 image0070.png
-12.887015 	 2276.035156 	 image0071.png
-11.898346 	 2276.394043 	 image0072.png
-10.892656 	 2275.668945 	 image0073.png
-9.897431 	 2272.772461 	 image0074.png
-8.888716 	 2273.386963 	 image0075.png
-7.894625 	 2270.951172 	 image0076.png
-6.894357 	 2270.753906 	 image0077.png
-5.894341 	 2271.531982 	 image0078.png
-4.896720 	 2268.202393 	 image0079.png
-3.900560 	 2266.682617 	 image0080.png
-2.896263 	 2267.696777 	 image0081.png
-1.896261 	 2262.171631 	 image0082.png
-0.895880 	 2263.951416 	 image0083.png
0.107280 	 2259.795654 	 image0084.png
1.113851 	 2257.625000 	 image0085.png
2.112590 	 2256.291504 	 image0086.png
3.113224 	 2251.834961 	 image0087.png
4.109941 	 2246.570312 	 image0088.png
5.113492 	 2243.608887 	 image0089.png
6.112491 	 2235.642090 	 image0090.png
7.113386 	 2226.441162 	 image0091.png
8.110617 	 2213.719238 	 image0092.png
9.110628 	 2193.274170 	 image0093.png
10.124789 	 2172.290283 	 image0094.png
11.131369 	 2157.514404 	 image0095.png
12.128221 	 2147.361816 	 image0096.png
13.130759 	 2142.162109 	 image0097.png
14.129885 	 2139.690674 	 image0098.png
15.136233 	 2134.868408 	 image0099.png
16.137349 	 2132.467285 	 image0100.png
17.138592 	 2132.860596 	 image0101.png
18.136549 	 2130.429199 	 image0102.png
19.155229 	 2130.044678 	 image0103.png
20.151797 	 2130.115234 	 image0104.png
30.182970 	 2124.690430 	 image0105.png
40.209017 	 2122.627686 	 image0106.png
50.233139 	 2119.587646 	 image0107.png
60.256398 	 2115.757812 	 image0108.png
70.331939 	 2113.074951 	 image0109.png
80.366092 	 2110.385010 	 image0110.png
90.391684 	 2106.784912 	 image0111.png
100.455092 	 2106.221680 	 image0112.png
